"","term","comparison","estimate","conf.low","conf.high","adj.p.value"
"1","sex:drug_treatment:health_status","Female:Placebo:Healthy-Male:Placebo:Healthy",0.0111116511653151,-0.914081861820394,0.936305164151024,1
"2","sex:drug_treatment:health_status","Male:Low dose:Healthy-Male:Placebo:Healthy",0.00566921317349056,-0.900090686868138,0.91142911321512,1
"3","sex:drug_treatment:health_status","Female:Low dose:Healthy-Male:Placebo:Healthy",0.0403184138449646,-0.874813190033172,0.955450017723101,0.999999999996299
"4","sex:drug_treatment:health_status","Male:High Dose:Healthy-Male:Placebo:Healthy",0.776240958955263,-0.129518941086366,1.68200085899689,0.177530997270534
"5","sex:drug_treatment:health_status","Female:High Dose:Healthy-Male:Placebo:Healthy",0.436060864301606,-0.479070739576531,1.35119246817974,0.921364609095923
"6","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Male:Placebo:Healthy",-12.8040143671347,-13.7053249817595,-11.9027037525099,4.97796359688607e-10
"7","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Male:Placebo:Healthy",-13.009916312365,-13.9299878080162,-12.0898448167138,4.97796359688607e-10
"8","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Male:Placebo:Healthy",-10.2796846019778,-11.1854445020194,-9.37392470193617,4.97796359688607e-10
"9","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Male:Placebo:Healthy",-9.60803279864292,-10.5231644025211,-8.69290119476479,4.97796359688607e-10
"10","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Male:Placebo:Healthy",-1.79554741744063,-2.71561891309182,-0.875475921789451,2.09526761496548e-08
"11","sex:drug_treatment:health_status","Female:High Dose:Alzheimer's-Male:Placebo:Healthy",-2.09888282392366,-3.00019343854844,-1.19757220929888,5.03689867592527e-10
"12","sex:drug_treatment:health_status","Male:Low dose:Healthy-Female:Placebo:Healthy",-0.00544243799182453,-0.93912331426148,0.928238438277831,1
"13","sex:drug_treatment:health_status","Female:Low dose:Healthy-Female:Placebo:Healthy",0.0292067626796495,-0.913568308376443,0.971981833735742,1
"14","sex:drug_treatment:health_status","Male:High Dose:Healthy-Female:Placebo:Healthy",0.765129307789948,-0.168551568479708,1.6988101840596,0.234310223291809
"15","sex:drug_treatment:health_status","Female:High Dose:Healthy-Female:Placebo:Healthy",0.424949213136291,-0.517825857919802,1.36772428419238,0.945866986496219
"16","sex:drug_treatment:health_status","Male:Placebo:Alzheimer's-Female:Placebo:Healthy",-12.8151260183,-13.7444912889141,-11.885760747686,4.97796359688607e-10
"17","sex:drug_treatment:health_status","Female:Placebo:Alzheimer's-Female:Placebo:Healthy",-13.0210279635303,-13.9685988259454,-12.0734571011153,4.97796359688607e-10
"18","sex:drug_treatment:health_status","Male:Low dose:Alzheimer's-Female:Placebo:Healthy",-10.2907962531431,-11.2244771294128,-9.35711537687346,4.97796359688607e-10
"19","sex:drug_treatment:health_status","Female:Low dose:Alzheimer's-Female:Placebo:Healthy",-9.61914444980824,-10.5619195208643,-8.67636937875215,4.97796359688607e-10
"20","sex:drug_treatment:health_status","Male:High Dose:Alzheimer's-Female:Placebo:Healthy",-1.80665906860595,-2.75422993102103,-0.859088206190871,5.04637337472857e-08
